,Selling Price,MRP,Discount,Rating,Discount_Amount,Discount_Computed_%,Gender,Color,Fit,Product_Type,Print_Type,Category
156,1299,2499.0,48.0,4.7,1200.0,48.0,Men,White,Unknown,T-Shirt,Printed,Topwear
157,999,2199.0,54.0,4.7,1200.0,54.6,Men,Grey,Oversized,T-Shirt,Solid,Topwear
158,799,2099.0,61.0,4.7,1300.0,61.9,Men,Brown,Unknown,T-Shirt,Solid,Topwear
159,799,2099.0,61.0,4.7,1300.0,61.9,Men,White,Unknown,T-Shirt,Solid,Topwear
160,599,1899.0,68.0,4.3,1300.0,68.5,Men,Brown,Oversized,T-Shirt,Typography,Topwear
161,699,1349.0,48.0,4.3,650.0,48.2,Men,Black,Oversized,T-Shirt,Solid,Topwear
162,599,1899.0,68.0,4.3,1300.0,68.5,Men,Lavender,Oversized,T-Shirt,Graphic,Topwear
163,599,1899.0,68.0,4.3,1300.0,68.5,Men,Beige,Oversized,T-Shirt,Typography,Topwear
164,799,2199.0,63.0,4.3,1400.0,63.7,Men,Black,Oversized,T-Shirt,Graphic,Topwear
165,699,1449.0,51.0,4.3,750.0,51.8,Men,Black,Oversized,T-Shirt,Solid,Topwear
166,699,1699.0,58.0,4.3,1000.0,58.9,Men,Brown,Oversized,T-Shirt,Graphic,Topwear
167,699,1449.0,51.0,4.3,750.0,51.8,Men,Green,Oversized,T-Shirt,Graphic,Topwear
168,599,1349.0,55.0,4.3,750.0,55.6,Men,Black,Oversized,T-Shirt,Solid,Topwear
169,699,1499.0,53.0,4.3,800.0,53.4,Men,Black,Oversized,T-Shirt,Graphic,Topwear
170,799,1699.0,52.0,4.3,900.0,53.0,Men,White,Oversized,T-Shirt,Solid,Topwear
171,699,1749.0,60.0,4.3,1050.0,60.0,Men,White,Oversized,T-Shirt,Solid,Topwear
172,649,1099.0,40.0,4.3,450.0,40.9,Men,Black,Oversized,T-Shirt,Printed,Topwear
173,699,1299.0,46.0,4.3,600.0,46.2,Men,Black,Oversized,T-Shirt,Graphic,Topwear
174,699,1299.0,46.0,4.3,600.0,46.2,Men,Brown,Oversized,T-Shirt,Solid,Topwear
175,699,1299.0,46.0,4.3,600.0,46.2,Men,Red,Oversized,T-Shirt,Solid,Topwear
176,599,1199.0,50.0,4.3,600.0,50.0,Men,Black,Oversized,T-Shirt,Graphic,Topwear
177,569,1599.0,64.0,4.3,1030.0,64.4,Men,Black,Unknown,T-Shirt,Solid,Topwear
178,599,1799.0,66.0,4.3,1200.0,66.7,Men,Black,Oversized,T-Shirt,Graphic,Topwear
179,699,1599.0,56.0,4.3,900.0,56.3,Men,Black,Oversized,T-Shirt,Graphic,Topwear
180,399,999.0,60.0,4.6,600.0,60.1,Men,White,Unknown,T-Shirt,Solid,Topwear
181,499,999.0,50.0,4.6,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
182,449,1099.0,59.0,4.6,650.0,59.1,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
183,499,999.0,50.0,4.6,500.0,50.1,Men,Black,Unknown,T-Shirt,Graphic,Topwear
184,499,1149.0,56.0,4.6,650.0,56.6,Men,Blue,Unknown,T-Shirt,Graphic,Topwear
